step training_loss training_accuracy
433 0.807484 0.734375
434 0.693583 0.773438
435 0.676714 0.796875
436 0.600477 0.796875
437 0.680544 0.761719
438 0.596325 0.832031
439 0.738673 0.785156
440 0.651674 0.773438
441 0.670688 0.789062
442 0.677103 0.789062
443 0.730638 0.78125
444 0.793131 0.730469
445 0.700179 0.796875
446 0.681295 0.785156
447 0.659386 0.777344
448 0.667106 0.785156
449 0.684138 0.773438
450 0.690407 0.789062
451 0.695794 0.796875
452 0.673451 0.785156
453 0.665772 0.789062
454 0.74232 0.769531
455 0.701613 0.75
456 0.639173 0.804688
457 0.74467 0.757812
458 0.655541 0.792969
459 0.708057 0.761719
460 0.564105 0.835938
461 0.485546 0.855469
462 0.765543 0.746094
463 0.586571 0.816406
464 0.589692 0.804688
465 0.572871 0.789062
466 0.686688 0.78125
467 0.637821 0.796875
468 0.694597 0.785156
469 0.628921 0.808594
470 0.658154 0.792969
471 0.758373 0.757812
472 0.708575 0.78125
473 0.506783 0.84375
474 0.688683 0.769531
475 0.657913 0.796875
476 0.631177 0.78125
477 0.607789 0.828125
478 0.670696 0.78125
479 0.585306 0.808594
480 0.651398 0.796875
481 0.668092 0.792969
482 0.577229 0.816406
483 0.614155 0.796875
484 0.568584 0.828125
485 0.632643 0.804688
486 0.631779 0.796875
487 0.622401 0.800781
488 0.704721 0.777344
489 0.614507 0.792969
490 0.624538 0.816406
491 0.547462 0.832031
492 0.574511 0.808594
493 0.687314 0.769531
494 0.678482 0.777344
495 0.755154 0.765625
496 0.653691 0.800781
497 0.775035 0.746094
498 0.580979 0.785156
499 0.555072 0.828125
500 0.661048 0.785156
501 0.551107 0.839844
502 0.632898 0.8125
503 0.57779 0.8125
504 0.541588 0.851562
505 0.573926 0.828125
506 0.630762 0.796875
507 0.713255 0.777344
508 0.588809 0.808594
509 0.629655 0.796875
510 0.653665 0.796875
511 0.626017 0.808594
512 0.5454 0.816406
513 0.702266 0.800781
514 0.577215 0.8125
515 0.596782 0.804688
516 0.568588 0.828125
517 0.528995 0.824219
518 0.6696 0.765625
519 0.68603 0.777344
520 0.631968 0.789062
521 0.611211 0.816406
522 0.637647 0.796875
523 0.62624 0.816406
524 0.660754 0.800781
525 0.627056 0.832031
526 0.614682 0.84375
527 0.590066 0.84375
528 0.542253 0.835938
529 0.536431 0.839844
530 0.607131 0.8125
531 0.597 0.800781
532 0.453223 0.878906
533 0.618076 0.804688
534 0.540596 0.808594
535 0.561476 0.84375
536 0.573318 0.820312
537 0.594554 0.8125
538 0.601896 0.839844
539 0.656753 0.800781
540 0.564916 0.832031
541 0.633367 0.8125
542 0.623267 0.789062
543 0.669668 0.8125
544 0.622326 0.808594
545 0.549622 0.824219
546 0.668733 0.777344
547 0.667299 0.792969
548 0.601298 0.816406
549 0.727015 0.773438
550 0.704427 0.753906
551 0.509869 0.839844
552 0.678942 0.796875
553 0.677435 0.808594
554 0.480355 0.871094
555 0.623939 0.824219
556 0.66402 0.78125
557 0.660757 0.800781
558 0.596345 0.796875
559 0.670502 0.796875
560 0.560184 0.824219
561 0.584888 0.808594
562 0.55038 0.824219
563 0.639519 0.824219
564 0.532214 0.839844
565 0.600108 0.800781
566 0.607182 0.816406
567 0.518129 0.824219
568 0.519802 0.824219
569 0.554911 0.820312
570 0.620751 0.820312
571 0.565384 0.84375
572 0.501728 0.847656
573 0.661452 0.804688
574 0.700961 0.761719
575 0.588627 0.828125
576 0.602054 0.785156
577 0.705637 0.796875
